Date,Search Volume (Indexed),News Articles Published,Unique News Outlets,Avg Articles per News Outlet,Death Toll (Global),Infections (Global),Recovered (Global)
1/5/20,0.5,37,31,1.19,,,
1/6/20,0.5,96,89,1.08,,,
1/7/20,0.5,45,43,1.05,,,
1/8/20,0.5,308,245,1.26,,,
1/9/20,0.5,679,535,1.27,,,
1/10/20,0.5,503,425,1.18,,,
1/11/20,0.5,392,316,1.24,,,
1/12/20,0.5,160,116,1.38,,,
1/13/20,0.5,491,375,1.31,,,
1/14/20,0.5,355,240,1.48,,,
1/15/20,0.5,557,395,1.41,,,
1/16/20,0.5,1116,648,1.72,,,
1/17/20,0.5,1747,1005,1.74,,,
1/18/20,0.5,1159,779,1.49,,,
1/19/20,0.5,1350,832,1.62,,,
1/20/20,2,3885,1647,2.36,,,
1/21/20,7,10447,2862,3.65,,,
1/22/20,13,14158,3127,4.53,17,555,28
1/23/20,18,17253,3496,4.94,18,653,30
1/24/20,28,18422,3878,4.75,26,941,36
1/25/20,36,10381,2561,4.05,42,"1,434",39
1/26/20,40,12598,2947,4.27,56,"2,118",52
1/27/20,43,21762,4497,4.84,82,"2,927",61
1/28/20,51,26582,4936,5.39,131,"5,578",107
1/29/20,49,28748,5229,5.5,133,"6,166",126
1/30/20,55,34210,5605,6.1,171,"8,234",143
1/31/20,58,31925,5468,5.84,213,"9,927",222
2/1/20,42,15833,3266,4.85,259,"12,038",284
2/2/20,35,17267,3534,4.89,362,"16,787",472
2/3/20,31,28135,5220,5.39,426,"19,881",623
2/4/20,28,29730,5267,5.64,492,"23,892",852
2/5/20,26,28534,5227,5.46,564,"27,636","1,124"
2/6/20,26,27908,5268,5.3,634,"30,818","1,487"
2/7/20,28,27002,5064,5.33,719,"34,392","2,011"
2/8/20,26,13600,3150,4.32,806,"37,121","2,616"
2/9/20,23,13653,3030,4.51,906,"40,151","3,244"
2/10/20,24,27251,5041,5.41,"1,013","42,763","3,946"
2/11/20,23,29072,5397,5.39,"1,113","44,803","4,683"
2/12/20,22,29059,5352,5.43,"1,118","45,222","5,150"
2/13/20,24,31899,5629,5.67,"1,371","60,370","6,295"
2/14/20,20,27034,5080,5.32,"1,523","66,887","8,058"
2/15/20,19,14241,3086,4.61,"1,666","69,032","9,395"
2/16/20,17,14699,3244,4.53,"1,770","71,226","10,865"
2/17/20,17,24688,5027,4.91,"1,868","73,260","12,583"
2/18/20,16,28893,5262,5.49,"2,007","75,138","14,352"
2/19/20,15,24879,5139,4.84,"2,122","75,641","16,121"
2/20/20,16,23508,4635,5.07,"2,247","76,199","18,177"
2/21/20,25,25549,4724,5.41,"2,251","76,843","18,890"
2/22/20,40,15196,3155,4.82,"2,458","78,599","22,886"
2/23/20,57,18472,3506,5.27,"2,469","78,985","23,394"
2/24/20,65,38643,6085,6.35,"2,629","79,570","25,227"
2/25/20,82,46046,6601,6.98,"2,708","80,415","27,905"
2/26/20,94,54784,7287,7.52,"2,770","81,397","30,384"
2/27/20,94,63088,8086,7.8,"2,814","82,756","33,277"
2/28/20,96,74155,8529,8.69,"2,872","84,122","36,711"
2/29/20,86,39370,5348,7.36,"2,941","86,013","39,782"
3/1/20,82,38857,5408,7.19,"2,996","88,371","42,716"
3/2/20,100,80241,9663,8.3,"3,085","90,309","45,602"
3/3/20,,85294,9907,8.61,"3,160","92,844","48,229"
