Source,Category,Date Range,Geo,Question Seed,Question Query,Indexed Searches within Question Seed,Rising,Is question
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus,100,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what the coronavirus,74,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is the coronavirus,43,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what symptoms of coronavirus,15,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are coronavirus symptoms,13,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus virus,11,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are symptoms of coronavirus,11,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms coronavirus,11,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is a coronavirus,11,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms of coronavirus,10,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms of the coronavirus,10,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is corona,8,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus symptoms,8,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus china,7,,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are coronavirus symptoms,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are symptoms of coronavirus,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms coronavirus,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms of coronavirus,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what are the symptoms of the coronavirus,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is corona,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus symptoms,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is coronavirus china,,Breakout,yes
"https://trends.google.com/trends/explore?date=2020-01-15%202020-03-04&q=Coronavirus%20what%20-where%20-how,coronavirus%20where%20-what%20-how,coronavirus%20is%20-what%20-where%20-how,coronavirus%20how%20-what%20-where,coronavirus%20do%20-where%20-what%20-how%20-brasil%20-sintomas%20%20-noticias%20-previs%C3%A3o%20-origem%20-cura%20-causa%20-que",All categories,1/15/20 - 3/4/20,Worldwide,what,what is corona virus,,Breakout,yes
